Wn(um),Wp(um),Vm(V)
2.4,0.36,0.605419835
2.44,0.36,0.604514123
2.48,0.36,0.603645621
2.52,0.36,0.602790457
2.56,0.36,0.60195776
2.6,0.36,0.601143911
2.64,0.36,0.600345616
2.68,0.36,0.599488246
2.72,0.36,0.598608276
2.76,0.36,0.597764005
2.8,0.36,0.596951544
2.84,0.36,0.59616742
2.88,0.36,0.59540852
2.92,0.36,0.594672046
2.96,0.36,0.593955468
3,0.36,0.593263348
3.04,0.36,0.592577279
3.08,0.36,0.591905564
3.12,0.36,0.591246272
3.16,0.36,0.590597638
3.2,0.36,0.589950744
3.24,0.36,0.58921956
3.28,0.36,0.588514232
3.32,0.36,0.58783239
3.36,0.36,0.587171886
3.4,0.36,0.586530772
3.44,0.36,0.585907277
3.48,0.36,0.585299786
3.52,0.36,0.584706821
3.56,0.36,0.584127026
3.6,0.36,0.583559157
3.64,0.36,0.583008192
3.68,0.36,0.582458791
3.72,0.36,0.5819186
3.76,0.36,0.581386623
3.8,0.36,0.580861904
3.84,0.36,0.580343569
3.88,0.36,0.579801981
3.92,0.36,0.579215967
3.96,0.36,0.578646993
4,0.36,0.578093748
0.2,0.4,0.757537369
0.24,0.4,0.750244445
0.28,0.4,0.742756811
0.32,0.4,0.73563525
0.36,0.4,0.729090416
0.4,0.4,0.722830812
0.44,0.4,0.716976461
0.48,0.4,0.711672354
0.52,0.4,0.706498618
0.56,0.4,0.701843605
0.6,0.4,0.697349679
0.64,0.4,0.693178135
0.68,0.4,0.689362955
0.72,0.4,0.685490008
0.76,0.4,0.682055935
0.8,0.4,0.678719188
0.84,0.4,0.675472316
0.88,0.4,0.672521231
0.92,0.4,0.669739708
0.96,0.4,0.666859444
1,0.4,0.664225153
1.04,0.4,0.661794838
1.08,0.4,0.659418132
1.12,0.4,0.656973393
1.16,0.4,0.65474874
1.2,0.4,0.652661222
1.24,0.4,0.650686238
1.28,0.4,0.648616325
1.32,0.4,0.646611816
1.36,0.4,0.644762826
1.4,0.4,0.643007028
1.44,0.4,0.641337473
1.48,0.4,0.639685055
1.52,0.4,0.637926737
1.56,0.4,0.636290306
1.6,0.4,0.63476392
1.64,0.4,0.633297811
1.68,0.4,0.631896038
1.72,0.4,0.630542634
1.76,0.4,0.629108106
1.8,0.4,0.627676629
1.84,0.4,0.626328158
1.88,0.4,0.625063256
1.92,0.4,0.623834561
1.96,0.4,0.622655254
2,0.4,0.621515511
2.04,0.4,0.620406554
2.08,0.4,0.619217133
2.12,0.4,0.618025987
2.16,0.4,0.616895045
2.2,0.4,0.615815797
2.24,0.4,0.614780805
2.28,0.4,0.613791564
2.32,0.4,0.612822433
2.36,0.4,0.61188138
2.4,0.4,0.610963336
2.44,0.4,0.610063665
2.48,0.4,0.60905491
2.52,0.4,0.608082408
2.56,0.4,0.607151377
2.6,0.4,0.606256847
2.64,0.4,0.605394407
2.68,0.4,0.604560117
2.72,0.4,0.603758849
2.76,0.4,0.602967295
2.8,0.4,0.602195293
2.84,0.4,0.601439968
2.88,0.4,0.600698695
2.92,0.4,0.599963776
2.96,0.4,0.599134214
3,0.4,0.598336858
3.04,0.4,0.597568453
3.08,0.4,0.596826081
3.12,0.4,0.596107106
3.16,0.4,0.595409151
3.2,0.4,0.59473006
3.24,0.4,0.594067864
3.28,0.4,0.593428081
3.32,0.4,0.59279191
3.36,0.4,0.592168346
